phase (degrees), delay (ns), EO Modulated (V), Un Modulatoed/Reference (V)
576.0, 0.0, 0.1724571510484176, 0.1747428654426975
576.0, 0.0, 0.17771429415526135, 0.17337143680612957
576.0, 0.0, 0.1745142940032695, 0.17360000824555755
576.0, 0.0, 0.17760000843554735, 0.17154286529070564
576.0, 0.0, 0.1784000084735453, 0.17211429388927563
576.022, 0.0007521367521384002, 0.17554286548069545, 0.1722285796089896
576.022, 0.0007521367521384002, 0.17394286540469953, 0.17131429385127767
576.022, 0.0007521367521384002, 0.1747428654426975, 0.17394286540469953
576.022, 0.0007521367521384002, 0.17577143692012345, 0.17177143673013365
576.022, 0.0007521367521384002, 0.1766857226778354, 0.17405715112441353
576.044, 0.0015042735042729136, 0.17794286559468933, 0.17108572241184966
576.044, 0.0015042735042729136, 0.1747428654426975, 0.17211429388927563
576.044, 0.0015042735042729136, 0.17508572260183947, 0.1742857225638415
576.044, 0.0015042735042729136, 0.1764571512384074, 0.17348572252584354
576.044, 0.0015042735042729136, 0.1762285797989794, 0.1724571510484176
576.066, 0.002256410256411314, 0.17702857983697737, 0.17394286540469953
576.066, 0.002256410256411314, 0.17371429396527155, 0.1702857223738517
576.066, 0.002256410256411314, 0.17405715112441353, 0.17314286536670156
576.066, 0.002256410256411314, 0.1748571511624115, 0.16960000805556774
576.066, 0.002256410256411314, 0.1749714368821255, 0.1745142940032695
576.088, 0.003008547008545827, 0.1742857225638415, 0.17120000813156366
576.088, 0.003008547008545827, 0.1762285797989794, 0.17154286529070564
576.088, 0.003008547008545827, 0.1725714367681316, 0.1722285796089896
576.088, 0.003008547008545827, 0.1762285797989794, 0.1722285796089896
576.088, 0.003008547008545827, 0.17382857968498552, 0.17588572263983743
576.11, 0.0037606837606842273, 0.17085715097242168, 0.17337143680612957
576.11, 0.0037606837606842273, 0.17382857968498552, 0.17280000820755959
576.11, 0.0037606837606842273, 0.16948572233585374, 0.17325715108641557
576.11, 0.0037606837606842273, 0.1729142939272736, 0.17017143665413773
576.11, 0.0037606837606842273, 0.17142857957099164, 0.17177143673013365
576.132, 0.004512820512818741, 0.17200000816956162, 0.17405715112441353
576.132, 0.004512820512818741, 0.17211429388927563, 0.1745142940032695
576.132, 0.004512820512818741, 0.17337143680612957, 0.17268572248784558
576.132, 0.004512820512818741, 0.17120000813156366, 0.1729142939272736
576.132, 0.004512820512818741, 0.17280000820755959, 0.17074286525270768
576.154, 0.005264957264957141, 0.17188572244984762, 0.16960000805556774
576.154, 0.005264957264957141, 0.17302857964698756, 0.17394286540469953
576.154, 0.005264957264957141, 0.16937143661613976, 0.17337143680612957
576.154, 0.005264957264957141, 0.17337143680612957, 0.17200000816956162
576.154, 0.005264957264957141, 0.16777143654014384, 0.17405715112441353
576.176, 0.006017094017095541, 0.17165715101041965, 0.17302857964698756
576.176, 0.006017094017095541, 0.17177143673013365, 0.1748571511624115
576.176, 0.006017094017095541, 0.17131429385127767, 0.1725714367681316
576.176, 0.006017094017095541, 0.1705142938132797, 0.17314286536670156
576.176, 0.006017094017095541, 0.1709714366921357, 0.16960000805556774
576.198, 0.006769230769230055, 0.17337143680612957, 0.1742857225638415
576.198, 0.006769230769230055, 0.17108572241184966, 0.17177143673013365
576.198, 0.006769230769230055, 0.16868572229785578, 0.17394286540469953
576.198, 0.006769230769230055, 0.17142857957099164, 0.1745142940032695
576.198, 0.006769230769230055, 0.17325715108641557, 0.17325715108641557
576.22, 0.007521367521368455, 0.17405715112441353, 0.1763428655186934
576.22, 0.007521367521368455, 0.1723428653287036, 0.17462857972298348
576.22, 0.007521367521368455, 0.17005715093442372, 0.1729142939272736
576.22, 0.007521367521368455, 0.17154286529070564, 0.17371429396527155
576.22, 0.007521367521368455, 0.17325715108641557, 0.17268572248784558
576.242, 0.008273504273502968, 0.17462857972298348, 0.1723428653287036
576.242, 0.008273504273502968, 0.17268572248784558, 0.17394286540469953
576.242, 0.008273504273502968, 0.1744000082835555, 0.1765714369581214
576.242, 0.008273504273502968, 0.1742857225638415, 0.17337143680612957
576.242, 0.008273504273502968, 0.17554286548069545, 0.17325715108641557
576.264, 0.009025641025641368, 0.17268572248784558, 0.17394286540469953
576.264, 0.009025641025641368, 0.17337143680612957, 0.17142857957099164
576.264, 0.009025641025641368, 0.17554286548069545, 0.17280000820755959
576.264, 0.009025641025641368, 0.17531429404126747, 0.1745142940032695
576.264, 0.009025641025641368, 0.17554286548069545, 0.1747428654426975
576.286, 0.009777777777775882, 0.17360000824555755, 0.1724571510484176
576.286, 0.009777777777775882, 0.17382857968498552, 0.1748571511624115
576.286, 0.009777777777775882, 0.17280000820755959, 0.17588572263983743
576.286, 0.009777777777775882, 0.17520000832155347, 0.17394286540469953
576.286, 0.009777777777775882, 0.17165715101041965, 0.1747428654426975
576.308, 0.010529914529914282, 0.17508572260183947, 0.17085715097242168
576.308, 0.010529914529914282, 0.17737143699611937, 0.17314286536670156
576.308, 0.010529914529914282, 0.17542857976098145, 0.1747428654426975
