phase (degrees), delay (ns), EO Modulated (V), Un Modulatoed/Reference (V)
576.0, 0.0, 0.18400000873953104, 0.16994286521470972
576.0, 0.0, 0.16880000801756978, 0.1704000080935657
576.0, 0.0, 0.16982857949499572, 0.17074286525270768
576.0, 0.0, 0.1682285794189998, 0.1704000080935657
576.0, 0.0, 0.16914286517671176, 0.1704000080935657
576.022, 0.0007521367521384002, 0.1684571508584278, 0.17302857964698756
576.022, 0.0007521367521384002, 0.16891429373728378, 0.1709714366921357
576.022, 0.0007521367521384002, 0.17120000813156366, 0.17268572248784558
576.022, 0.0007521367521384002, 0.17120000813156366, 0.16937143661613976
576.022, 0.0007521367521384002, 0.16960000805556774, 0.1729142939272736
576.044, 0.0015042735042729136, 0.17142857957099164, 0.1725714367681316
576.044, 0.0015042735042729136, 0.17360000824555755, 0.17600000835955143
576.044, 0.0015042735042729136, 0.17394286540469953, 0.1722285796089896
576.044, 0.0015042735042729136, 0.17165715101041965, 0.17177143673013365
576.044, 0.0015042735042729136, 0.17165715101041965, 0.17085715097242168
576.066, 0.002256410256411314, 0.1709714366921357, 0.17280000820755959
576.066, 0.002256410256411314, 0.17268572248784558, 0.17154286529070564
576.066, 0.002256410256411314, 0.16925715089642576, 0.17200000816956162
576.066, 0.002256410256411314, 0.16937143661613976, 0.16971429377528174
576.066, 0.002256410256411314, 0.17131429385127767, 0.17325715108641557
576.088, 0.003008547008545827, 0.17508572260183947, 0.17017143665413773
576.088, 0.003008547008545827, 0.17108572241184966, 0.17382857968498552
576.088, 0.003008547008545827, 0.17268572248784558, 0.1747428654426975
576.088, 0.003008547008545827, 0.1749714368821255, 0.17005715093442372
576.088, 0.003008547008545827, 0.17577143692012345, 0.16960000805556774
576.11, 0.0037606837606842273, 0.1725714367681316, 0.17200000816956162
576.11, 0.0037606837606842273, 0.17360000824555755, 0.1748571511624115
576.11, 0.0037606837606842273, 0.17371429396527155, 0.17165715101041965
576.11, 0.0037606837606842273, 0.17417143684412753, 0.1705142938132797
576.11, 0.0037606837606842273, 0.17405715112441353, 0.17188572244984762
576.132, 0.004512820512818741, 0.1749714368821255, 0.17154286529070564
576.132, 0.004512820512818741, 0.17600000835955143, 0.1724571510484176
576.132, 0.004512820512818741, 0.17302857964698756, 0.1722285796089896
576.132, 0.004512820512818741, 0.17531429404126747, 0.17177143673013365
576.132, 0.004512820512818741, 0.17588572263983743, 0.17165715101041965
576.154, 0.005264957264957141, 0.1745142940032695, 0.16971429377528174
576.154, 0.005264957264957141, 0.1745142940032695, 0.1747428654426975
576.154, 0.005264957264957141, 0.17508572260183947, 0.17394286540469953
576.154, 0.005264957264957141, 0.17211429388927563, 0.1745142940032695
576.154, 0.005264957264957141, 0.17611429407926543, 0.1705142938132797
576.176, 0.006017094017095541, 0.17280000820755959, 0.16960000805556774
576.176, 0.006017094017095541, 0.1709714366921357, 0.16811429369928582
576.176, 0.006017094017095541, 0.17314286536670156, 0.1705142938132797
576.176, 0.006017094017095541, 0.17074286525270768, 0.17062857953299368
576.176, 0.006017094017095541, 0.1702857223738517, 0.17142857957099164
576.198, 0.006769230769230055, 0.16937143661613976, 0.1722285796089896
576.198, 0.006769230769230055, 0.16971429377528174, 0.17337143680612957
576.198, 0.006769230769230055, 0.17165715101041965, 0.17074286525270768
576.198, 0.006769230769230055, 0.17074286525270768, 0.17200000816956162
576.198, 0.006769230769230055, 0.17017143665413773, 0.17142857957099164
576.22, 0.007521367521368455, 0.17074286525270768, 0.1729142939272736
576.22, 0.007521367521368455, 0.16914286517671176, 0.17005715093442372
576.22, 0.007521367521368455, 0.17085715097242168, 0.17268572248784558
576.22, 0.007521367521368455, 0.16800000797957182, 0.16754286510071584
576.22, 0.007521367521368455, 0.16948572233585374, 0.16982857949499572
576.242, 0.008273504273502968, 0.16994286521470972, 0.17302857964698756
576.242, 0.008273504273502968, 0.1722285796089896, 0.1704000080935657
576.242, 0.008273504273502968, 0.16914286517671176, 0.16948572233585374
576.242, 0.008273504273502968, 0.16765715082042984, 0.16948572233585374
576.242, 0.008273504273502968, 0.17200000816956162, 0.17062857953299368
576.264, 0.009025641025641368, 0.17131429385127767, 0.16937143661613976
576.264, 0.009025641025641368, 0.17280000820755959, 0.16868572229785578
576.264, 0.009025641025641368, 0.17120000813156366, 0.16994286521470972
576.264, 0.009025641025641368, 0.16960000805556774, 0.17074286525270768
576.264, 0.009025641025641368, 0.17074286525270768, 0.16925715089642576
576.286, 0.009777777777775882, 0.17382857968498552, 0.17325715108641557
576.286, 0.009777777777775882, 0.17154286529070564, 0.17074286525270768
576.286, 0.009777777777775882, 0.17302857964698756, 0.16948572233585374
576.286, 0.009777777777775882, 0.17177143673013365, 0.16937143661613976
576.286, 0.009777777777775882, 0.17142857957099164, 0.17062857953299368
576.308, 0.010529914529914282, 0.1725714367681316, 0.16788572225985782
576.308, 0.010529914529914282, 0.1729142939272736, 0.17120000813156366
576.308, 0.010529914529914282, 0.17177143673013365, 0.17142857957099164
576.308, 0.010529914529914282, 0.17120000813156366, 0.16914286517671176
576.308, 0.010529914529914282, 0.17200000816956162, 0.16982857949499572
576.33, 0.011282051282052683, 0.17085715097242168, 0.1704000080935657
576.33, 0.011282051282052683, 0.1684571508584278, 0.16960000805556774
576.33, 0.011282051282052683, 0.17314286536670156, 0.17302857964698756
576.33, 0.011282051282052683, 0.16971429377528174, 0.16891429373728378
576.33, 0.011282051282052683, 0.1683428651387138, 0.1722285796089896
576.352, 0.012034188034187196, 0.16971429377528174, 0.17211429388927563
576.352, 0.012034188034187196, 0.16925715089642576, 0.17188572244984762
576.352, 0.012034188034187196, 0.16902857945699776, 0.17085715097242168
576.352, 0.012034188034187196, 0.17074286525270768, 0.1723428653287036
576.352, 0.012034188034187196, 0.17005715093442372, 0.1704000080935657
576.374, 0.012786324786325597, 0.16800000797957182, 0.1709714366921357
576.374, 0.012786324786325597, 0.1705142938132797, 0.17280000820755959
576.374, 0.012786324786325597, 0.1725714367681316, 0.1729142939272736
576.374, 0.012786324786325597, 0.17017143665413773, 0.16925715089642576
576.374, 0.012786324786325597, 0.1722285796089896, 0.17165715101041965
576.396, 0.01353846153846011, 0.17154286529070564, 0.17188572244984762
576.396, 0.01353846153846011, 0.17017143665413773, 0.17120000813156366
576.396, 0.01353846153846011, 0.17108572241184966, 0.17131429385127767
576.396, 0.01353846153846011, 0.17154286529070564, 0.1702857223738517
576.396, 0.01353846153846011, 0.1705142938132797, 0.1725714367681316
576.418, 0.01429059829059851, 0.17074286525270768, 0.17165715101041965
576.418, 0.01429059829059851, 0.17188572244984762, 0.1722285796089896
576.418, 0.01429059829059851, 0.17074286525270768, 0.17280000820755959
576.418, 0.01429059829059851, 0.17200000816956162, 0.17062857953299368
576.418, 0.01429059829059851, 0.17165715101041965, 0.1705142938132797
576.44, 0.01504273504273691, 0.17211429388927563, 0.17062857953299368
576.44, 0.01504273504273691, 0.16925715089642576, 0.17337143680612957
576.44, 0.01504273504273691, 0.17200000816956162, 0.17177143673013365
576.44, 0.01504273504273691, 0.1702857223738517, 0.17074286525270768
576.44, 0.01504273504273691, 0.17085715097242168, 0.1725714367681316
576.462, 0.015794871794871424, 0.17005715093442372, 0.17314286536670156
576.462, 0.015794871794871424, 0.16994286521470972, 0.17211429388927563
576.462, 0.015794871794871424, 0.16902857945699776, 0.17188572244984762
576.462, 0.015794871794871424, 0.17062857953299368, 0.1723428653287036
576.462, 0.015794871794871424, 0.16880000801756978, 0.17200000816956162
576.484, 0.016547008547009825, 0.16982857949499572, 0.17314286536670156
576.484, 0.016547008547009825, 0.16708572222185986, 0.1745142940032695
576.484, 0.016547008547009825, 0.16891429373728378, 0.17131429385127767
576.484, 0.016547008547009825, 0.16902857945699776, 0.17314286536670156
576.484, 0.016547008547009825, 0.16902857945699776, 0.17177143673013365
576.506, 0.017299145299144336, 0.16880000801756978, 0.17177143673013365
576.506, 0.017299145299144336, 0.16971429377528174, 0.17531429404126747
576.506, 0.017299145299144336, 0.16560000786557794, 0.1705142938132797
576.506, 0.017299145299144336, 0.16994286521470972, 0.1709714366921357
576.506, 0.017299145299144336, 0.1683428651387138, 0.1702857223738517
